,verbatim_text
472,When I fly I am always conscious of my food allergy. I have a dairy allergy. I can mostly pick my way around a menu. I always feel like I am living on the edge. Given the large number of people that have allergies or intolerances to dairy I am wondering if that could be taken into consideration when preparing menus. This could make inflight lavatory use a little easier. Also consider gluten. I can only imagine the work that goes into creating a menu. So please see this as a concerned traveling humbly making a suggestion which I am sure you have probably already got in hand.
473,"I tried to pre-order alcoholic drinks and snack box but the app said that you were out of stock on all drinks, which I thought was strange. I did get the snack box."
474,It is fine. The snack packs are a rip off.
475,No.
476,"We had tried to sign in for food. our card information did not go through. We went from Portland Maine to Pasco with the cookies, it was a bet much for late 70 youngsters!. We should have tried to buy food ahead."
477,The pre select meal option did not work. In your app or on your website. I tried numerous times once I received notice it was time to pre order.
478,Was not offered a drink during the lunch service on flight.
479,The Bagel sandwich is absolutely the BEST breakfast sandwich I have ever eaten... EVER!. You should make them available all day long...they def would sell!. Reason to book early flights!.
480,Food was average the yogurt was plain and tasteless. the orange muffin was awfully sweet.
481,The chicken was ok. everything was overdone or mushy.
482,It used to be so much better . Salad did not have dressing ( none available ) ice cream sundae . Nope not really . United should be embarrassed by the business class food in a luxurious pod .
483,"The snack sizes are tiny. Considering what you charge for the flight you can do much better. I am a guest on your flight, and a paying guest as well. You would be embarrassed if that tiny size was what you served to a guest at your home."
484,"A CA totally forgot serving my wife's dinner and her first choice was not available because of that. In the Business Class, how does it happen????."
485,No.
486,Npot at this time.
487,No Thanks.
488,Please carry good single malt scotch.
489,Short flight no beverages.
490,"Small plane, no food service on this flight but that was expected. Cookies are always good!."
491,As our almost seven hour flight departed at 7:40pm an evening meal was really appreciated. The last meal we had was at 4pm and it is a bit soon to eat it as an evening meal. Being provided a meal on the plane meant not having to haul food onto the flight. Thank you for providing it.
492,"Asked for Biscoff, out of stock. Asked for Stroopwaffle, out of stock. Pretzel's are not even a good third choice. maybe you do not serve peanuts because some people are allergic."
493,"There was no dressing for the salad. both the chicken and quinoa were cold. The butter for the roll was also cold, which made it difficult to spread."
494,"hard to get bubbles, prosecco or champagne."
495,On the way from San Francisco to Paris we were given a delicious meal. On the way back from Paris to San Francisco we were not given a choice and the food was not excellent but satisfactory.
496,More healthy snack should be available.
497,No.
498,Getting very bored with the selection of the 3 boxes and their contents.
499,Portion make more satisfying/ a little bigger. Thank you.
500,It would have been nice to have more snacks available. The steward ran out of cookies halfway through the plane and only had pretzels left.
501,Polaris dishes much better FRA to IAH as compared with IAH to FRA. I requested the vegetarian entrees both times and I suspect at least parts of the outbound entree were supposed to be heated and they were not. The ice cold and hard offering was not palatable.
502,No.
503,Was unaware there would be a meal (glad there was). Boarding gate agent told me no meal unless you were in first class.
504,"The flight attendant was wonderful!. So was the Baileys and coffee,."
505,"There were only snack boxes offered. No real food , like a sandwich or something. The preorder only worked before the first flight. From LAS toEWR had no preorder."
506,"Brazilians like to have bread for breakfast, not only iogurt."
507,You show meals but never have them available.
